name,description,created_date
General,Default General category,2025-07-14 01:27:46
Produce,Default Produce category,2025-07-14 01:27:46
Meat & Poultry,Default Meat & Poultry category,2025-07-14 01:27:46
Dairy,Default Dairy category,2025-07-14 01:27:46
Pantry,Default Pantry category,2025-07-14 01:27:46
Beverages,Default Beverages category,2025-07-14 01:27:46
Cleaning Supplies,Default Cleaning Supplies category,2025-07-14 01:27:46
Frozen Bulk Items,Default Frozen Bulk Items category,2025-07-14 01:27:46
Frozen Chicken Meals,Default Frozen Chicken Meals category,2025-07-14 01:27:46
Chef's Healthy Choice,Custom Chef's Healthy Choice category,2025-07-27 03:22:04
